설비ID,시간,센서값1,센서값2,상태코드,이상 여부,주기,작업ID,운영자
EQP005,2024-11-01 00:01:46,41.72343326557935,0.9652518303907698,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:01:47,87.36184600095851,0.19438003399487302,ALERT,1,1,JOB00001,operator_03
EQP003,2024-11-01 00:01:48,70.99439211985653,0.7260913337226615,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:01:49,97.56294936913272,0.7145951041799521,ALERT,1,1,JOB00001,operator_02
EQP003,2024-11-01 00:01:50,83.61489558149628,0.2708322512620742,ALERT,1,1,JOB00001,operator_03
EQP004,2024-11-01 00:01:51,79.52341143992923,0.2508605273466612,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:01:52,97.01187317423401,0.8359801205122058,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:01:53,75.07999206122932,0.05819359550844361,NORMAL,0,1,JOB00001,operator_03
EQP002,2024-11-01 00:01:54,32.514963413686885,0.25024289816459533,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:01:55,72.8157901374185,0.27993389694594284,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:01:56,79.03175333566148,0.5543540525114007,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:01:57,53.568004994223195,0.24773098950115746,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:01:58,80.62768883714952,0.014393488629755868,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:01:59,23.68021136174022,0.040728802318970136,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:02:00,34.026421591147084,0.017161101831750236,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:02:01,59.32927000934659,0.4734717707805657,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:02,57.173905035168914,0.6497736826427634,NORMAL,0,1,JOB00001,operator_03
EQP002,2024-11-01 00:02:03,69.26800784417732,0.6350936508676438,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:02:04,40.87148986733712,0.01530454029038475,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:02:05,60.250900686407014,0.8564898411883223,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:02:06,74.71710155185129,0.6158511643899138,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:02:07,22.120904843329747,0.5857755812734633,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:02:08,84.07594357459197,0.6771683423829817,ALERT,1,1,JOB00001,operator_03
EQP003,2024-11-01 00:02:09,71.46305747538825,0.45825289049151663,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:02:10,85.65115805951643,0.6259396701015728,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:11,96.89524510591313,0.9053506419560637,ALERT,1,1,JOB00001,operator_03
EQP004,2024-11-01 00:02:12,41.916890185690704,0.21458911970837413,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:02:13,23.117050584818692,0.6182538843378929,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:14,72.45781083045938,0.38539662096556504,NORMAL,0,1,JOB00001,operator_03
EQP002,2024-11-01 00:02:15,21.86175485886607,0.8144684825889358,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:02:16,59.682996343472496,0.6928903586919394,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:02:17,70.31542774239071,0.877472013527053,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:02:18,53.4356825372463,0.9675805515202475,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:02:19,34.195163502377824,0.7506147516408583,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:02:20,99.24041136005387,0.4126176769114265,ALERT,1,1,JOB00001,operator_03
EQP002,2024-11-01 00:02:21,40.001315937288375,0.5805440123439098,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:02:22,39.08774878322721,0.6798447799002458,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:23,39.05889219231835,0.37772888617629485,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:02:24,60.42018979582857,0.8264574661077416,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:02:25,91.64185827969604,0.3892016787341631,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:02:26,96.68331975065587,0.8471431440955898,ALERT,1,1,JOB00001,operator_03
EQP001,2024-11-01 00:02:27,45.54509100723319,0.9500619670508049,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:02:28,65.87503104986288,0.6318372121697993,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:02:29,27.336331780678485,0.602440925901119,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:02:30,73.80147648616307,0.75237452943768,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:02:31,29.07716816139584,0.9309291056872926,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:02:32,24.604700801331543,0.5495288823237355,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:02:33,78.96284454328071,0.5459157701649889,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:02:34,29.36536131420847,0.14299168205283586,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:02:35,86.9571099389899,0.8668687053108414,ALERT,1,1,JOB00001,operator_03
EQP005,2024-11-01 00:02:36,37.80611340568244,0.39665160195425186,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:02:37,76.4993781725197,0.08134878064189976,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:02:38,38.65824579396222,0.5813054172267823,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:02:39,49.65137176535127,0.8127995672575026,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:02:40,67.35109910570274,0.35021824670031354,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:02:41,26.6800573358935,0.7771469159274368,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:02:42,39.897932354423034,0.3302525290190985,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:02:43,40.294573909851096,0.4052020867814171,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:02:44,79.27790887285346,0.7671948531085717,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:02:45,79.53693255546384,0.681039427096909,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:02:46,96.97380387796335,0.37487057952370406,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:47,26.631305735468338,0.5283701212972092,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:02:48,97.0578031552489,0.012154474689816341,ALERT,1,1,JOB00001,operator_01
EQP005,2024-11-01 00:02:49,23.45279295604609,0.8911431136980711,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:02:50,99.43718368954403,0.07379656473539886,ALERT,1,1,JOB00001,operator_03
EQP003,2024-11-01 00:02:51,75.6328898485318,0.07543454708976927,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:02:52,37.3447285269193,0.29449394683942987,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:53,70.20464640672508,0.5843143119231002,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:02:54,93.22034733352851,0.9587024074078462,ALERT,1,1,JOB00001,operator_01
EQP004,2024-11-01 00:02:55,28.54048527487075,0.3356600647969632,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:02:56,35.0496927779009,0.46369840493998216,NORMAL,0,1,JOB00001,operator_03
EQP002,2024-11-01 00:02:57,38.35157965639597,0.26593792496423896,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:02:58,97.95158461329332,0.9862107444796029,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:02:59,42.38108057351566,0.41120672087218624,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:03:00,74.77849380431034,0.1626169393448913,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:03:01,85.80297943385352,0.949799913291924,ALERT,1,1,JOB00001,operator_02
EQP005,2024-11-01 00:03:02,69.07321567486319,0.4182430362906189,NORMAL,0,1,JOB00001,operator_03
EQP002,2024-11-01 00:03:03,64.1270298035256,0.16483426113700095,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:03:04,82.20818269881804,0.48037008186635466,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:03:05,50.13911759503526,0.7495782999760721,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:06,97.59315182516826,0.8421189231357087,ALERT,1,1,JOB00001,operator_01
EQP005,2024-11-01 00:03:07,25.080946367200106,0.03682186763599138,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:03:08,21.093757186159785,0.07535906035246231,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:03:09,85.03208073040621,0.9997176732861306,ALERT,1,1,JOB00001,operator_01
EQP003,2024-11-01 00:03:10,64.4345364482102,0.7689874151805105,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:03:11,80.56649616339647,0.37785054927578643,ALERT,1,1,JOB00001,operator_03
EQP005,2024-11-01 00:03:12,56.04353082480748,0.12915941515149498,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:03:13,41.978543762072704,0.20722764900805646,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:03:14,73.73605475246853,0.6181282404578958,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:03:15,41.49379856202459,0.02218474203030163,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:03:16,61.62461607230347,0.7723183917356393,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:03:17,44.622179181683954,0.8163857352130623,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:03:18,64.87503772283091,0.876653602658345,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:03:19,67.19647177101089,0.48004596701847513,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:03:20,69.62476410827718,0.7040797680992236,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:03:21,92.2520846941301,0.617263712097292,ALERT,1,1,JOB00001,operator_01
EQP002,2024-11-01 00:03:22,48.04700470452776,0.5899176868546331,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:03:23,27.280167284106422,0.7263970326502283,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:24,61.119159132784866,0.7836530127411431,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:03:25,43.83675612335604,0.5236022760150112,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:03:26,95.96164989261138,0.14707348092903794,ALERT,1,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:27,59.369303446363055,0.25824438829895835,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:03:28,98.40260602283817,0.4926180939928696,ALERT,1,1,JOB00001,operator_02
EQP005,2024-11-01 00:03:29,36.730463286281136,0.5796499344717384,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:03:30,26.06906624869311,0.12887972191064923,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:03:31,31.10617381195281,0.6408747448032146,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:03:32,47.65338266590906,0.8967884099060118,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:03:33,61.21888438913687,0.9731103492701043,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:03:34,35.38312150469366,0.04086861626647886,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:03:35,47.60661022579094,0.3476192144826835,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:03:36,63.89722473659269,0.534423503732523,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:03:37,36.5066974724634,0.36426986104807546,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:03:38,75.23158629034923,0.039312139841098936,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:39,58.491631524503454,0.687784717096083,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:03:40,93.66979204254505,0.06107795985486375,ALERT,1,1,JOB00001,operator_02
EQP002,2024-11-01 00:03:41,89.46408856284694,0.08451700768068193,ALERT,1,1,JOB00001,operator_03
EQP003,2024-11-01 00:03:42,34.76168154851018,0.2093493233367103,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:03:43,80.79643271500686,0.531265753973534,ALERT,1,1,JOB00001,operator_02
EQP002,2024-11-01 00:03:44,79.79767505070052,0.0366832028905979,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:03:45,77.0679668707642,0.8952068376871993,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:03:46,62.569078821225254,0.10717201133977605,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:03:47,48.33173366345004,0.3971638325040825,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:48,78.99241648750552,0.18228387847595806,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:03:49,87.25679887023449,0.08920432871205619,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:03:50,38.657312923984094,0.34292686427826025,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:51,74.32818553155917,0.7891712386073383,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:03:52,58.366568140340014,0.5841994847141693,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:03:53,64.619381276035,0.5865354346607591,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:03:54,30.2064242236451,0.28377590579872447,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:03:55,71.67337930652809,0.5707783046689119,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:03:56,98.92121990343837,0.6057748193568872,ALERT,1,1,JOB00001,operator_03
EQP001,2024-11-01 00:03:57,20.60274905072598,0.22533279771252823,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:03:58,88.0654014268917,0.08788762454014387,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:03:59,26.418699652931377,0.5245113895702547,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:04:00,98.59028935268852,0.11203890216805235,ALERT,1,1,JOB00001,operator_01
EQP002,2024-11-01 00:04:01,66.0798734244528,0.9173956130855316,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:04:02,59.25990234070276,0.7228960966217757,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:04:03,77.47658166692429,0.5350367320449105,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:04:04,42.39832749282273,0.7694929331919369,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:04:05,45.89433891233949,0.4254364386164168,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:04:06,78.89977469587905,0.5298400231811167,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:04:07,68.8496033953306,0.28863055324025577,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:04:08,60.48831650874776,0.9320143422569341,NORMAL,0,1,JOB00001,operator_03
